,treatment,induction,fate,day,replicate
030U_MSCB-001,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-002,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-003,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-004,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-005,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-006,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-007,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-008,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-009,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-010,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-011,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-012,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-013,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-014,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-015,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-016,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-017,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-018,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-019,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-020,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-021,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-022,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-023,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-024,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-025,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-026,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-027,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-028,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-029,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-030,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-031,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-032,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-033,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-034,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-035,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-036,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-037,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-038,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-039,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-040,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-041,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-042,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-043,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-044,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-045,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-046,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-047,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-048,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-049,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-050,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-051,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-052,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-053,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-054,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-055,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-056,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-057,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-058,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-059,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-060,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-061,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-062,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-063,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-064,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-065,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-066,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-067,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-068,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-069,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-070,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-071,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-072,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-073,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-074,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-075,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-076,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-077,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-078,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-079,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-080,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-081,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-082,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-083,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-084,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-085,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-086,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-087,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-088,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-089,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-090,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-091,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-092,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-093,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-094,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-095,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-096,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-097,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-098,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-099,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-100,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-101,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-102,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-103,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-104,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-105,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-106,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-107,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-108,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-109,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-110,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-111,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-112,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-113,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-114,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-115,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-116,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-117,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-118,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-119,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-120,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-121,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-122,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-123,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-124,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-125,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-126,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-127,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-128,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-129,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-130,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-131,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-132,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-133,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-134,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-135,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-136,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-137,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-138,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-139,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-140,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-141,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-142,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-143,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-144,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-145,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-146,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-147,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-148,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-149,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-150,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-151,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-152,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-153,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-154,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-155,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-156,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-157,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-158,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-159,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-160,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-161,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-162,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-163,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-164,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-165,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-166,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-167,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-168,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-169,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-170,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-171,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-172,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-173,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-174,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-175,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-176,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-177,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-178,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-179,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-180,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-181,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-182,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-183,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-184,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-185,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-186,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-187,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-188,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-189,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-190,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-191,reprogramming,OSKM,iPSCs,6.0,0
030U_MSCB-192,reprogramming,OSKM,iPSCs,6.0,0
031U_MSCB-001,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-002,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-003,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-004,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-005,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-006,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-007,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-008,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-009,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-010,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-011,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-012,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-013,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-014,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-015,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-016,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-017,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-018,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-019,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-020,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-021,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-022,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-023,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-024,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-025,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-026,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-027,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-028,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-029,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-030,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-031,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-032,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-033,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-034,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-035,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-036,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-037,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-038,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-039,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-040,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-041,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-042,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-043,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-044,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-045,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-046,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-047,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-048,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-049,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-050,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-051,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-052,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-053,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-054,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-055,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-056,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-057,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-058,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-059,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-060,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-061,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-062,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-063,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-064,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-065,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-066,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-067,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-068,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-069,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-070,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-071,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-072,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-073,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-074,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-075,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-076,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-077,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-078,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-079,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-080,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-081,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-082,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-083,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-084,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-085,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-086,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-087,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-088,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-089,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-090,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-091,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-092,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-093,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-094,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-095,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-096,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-097,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-098,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-099,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-100,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-101,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-102,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-103,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-104,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-105,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-106,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-107,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-108,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-109,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-110,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-111,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-112,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-113,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-114,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-115,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-116,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-117,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-118,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-119,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-120,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-121,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-122,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-123,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-124,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-125,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-126,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-127,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-128,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-129,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-130,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-131,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-132,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-133,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-134,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-135,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-136,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-137,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-138,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-139,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-140,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-141,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-142,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-143,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-144,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-145,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-146,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-147,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-148,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-149,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-150,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-151,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-152,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-153,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-154,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-155,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-156,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-157,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-158,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-159,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-160,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-161,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-162,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-163,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-164,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-165,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-166,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-167,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-168,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-169,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-170,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-171,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-172,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-173,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-174,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-175,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-176,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-177,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-178,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-179,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-180,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-181,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-182,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-183,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-184,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-185,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-186,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-187,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-188,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-189,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-190,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-191,reprogramming,OSKM,iPSCs,6.0,1
031U_MSCB-192,reprogramming,OSKM,iPSCs,6.0,1
032U_MSCB-001,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-002,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-003,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-004,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-005,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-006,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-007,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-008,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-009,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-010,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-011,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-012,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-013,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-014,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-015,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-016,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-017,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-018,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-019,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-020,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-021,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-022,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-023,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-024,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-025,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-026,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-027,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-028,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-029,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-030,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-031,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-032,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-033,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-034,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-035,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-036,transdifferentiation,C/EBPα,iMac,2.75,0
032U_MSCB-037,transdifferentiation,C/EBPα,iMac,2.75,0
